exercise_name
"Barbell back squat"
"Front squat"
"Smith machine Squat"
"Belt squat"
"Leg press"
"Hack squat machine"
"Standing squat machine"
"Walking lunges"
"Reverse lunges"
"Split squat"
"Goblet squat"

"Romanian deadlift"
Deadlift
"Stiff-leg deadlift"
"Dumbbell RDL"
"Hip thrust"
"Glute bridge"
"Back extension machine"

"Barbell bench press"
"Incline bench press"
"Decline bench press"
"Smith machine bench press"
"Dumbbell bench press"
"Incline dumbbell press"
"Seated chest press machine"
"Chest fly machine"
"Cable chest fly"
Push-ups

"Lat pulldown"
"Neutral-grip lat pulldown"
"Single-arm lat pulldown"
Pull-ups
"Assisted pull-ups"
"Seated cable row"
"Single-arm cable row"
"Face-away cable row"
"Vertical row machine"
"T-bar row"
"Barbell row"
"Dumbbell row"

"Overhead press"
"Seated shoulder press machine"
"Dumbbell shoulder press"
"Arnold press"
"Lateral raises"
"Cable lateral raises"
"Rear delt fly"
"Reverse pec deck"
"Face pull"

"Barbell bicep curl"
"Dumbbell bicep curl"
"Incline dumbbell curl"
"Hammer curl"
"Cable bicep curl"
"Preacher curl machine"

"Tricep pushdown"
"Overhead tricep extension"
"Cable overhead tricep extension"
"Skull crushers"
"Close-grip bench press"
Dips
"Assisted dips"

"Leg extension"
"Single-leg extension"
"Seated leg curl"
"Lying leg curl"
"Standing leg curl"
"Seated calf raise"
"Standing calf raise"
"Donkey calf raise"

"Adductor machine"
"Abductor machine"
"Hip band walks"
"Hip band warm-up"

"Core hold"
Plank
"Side plank"
"Hanging knee raises"
"Hanging leg raises"
"Cable crunch"
"Russian twists"

"Dead hang"

Bike
Treadmill
"Rowing machine"
Elliptical
"Stair climber"

Warm-up
"Bike warm-up"
"Light warm-up stretches"
"Dynamic warm-up"
"Cool-down stretch"
"Mobility work"
